Variable,Description,URL,Category,UKB.dataset.ID,Field.ID
sibling_stroke,Illnesses of siblings,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20111,Family medical history,f.20111.0.0 - f.20111.0.11,20111
sibling_heart_disease,Illnesses of siblings,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20111,Family medical history,f.20111.0.0 - f.20111.0.11,20111
death_close_family,Non-accidental death in close genetic family,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=4501,Family medical history,f.4501.0.0,4501
father_alive,Father still alive,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1797,Family medical history,f.1797.0.0,1797
mother_alive,Mother still alive,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1835,Family medical history,f.1835.0.0,1835
number_brothers,Number of full brothers,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1873,Family medical history,f.1873.0.0,1873
number_sisters,Number of full sisters,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1883,Family medical history,f.1883.0.0,1883
number_older_siblings,Number of older siblings,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=5057,Family medical history,f.5057.0.0,5057
heart_attack_diagnosis,Vascular/heart problems diagnosed by doctor,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6150,Medical conditions,f.6150.0.0 - f.6150.0.3,6150
stroke_diagnosis,Vascular/heart problems diagnosed by doctor,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6150,Medical conditions,f.6150.0.0 - f.6150.0.3,6150
angina_diagnosis,Vascular/heart problems diagnosed by doctor,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6150,Medical conditions,f.6150.0.0 - f.6150.0.3,6150
high_blood_pressure_diagnosis,Vascular/heart problems diagnosed by doctor,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6150,Medical conditions,f.6150.0.0 - f.6150.0.3,6150
