Variable,Description,URL,Levels,Category,UKB dataset ID,Field ID,Notes,Description,Years collected,UKB Assessment,UKB Category
father_alzheimers,Illnesses of father,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20107,,Family medical history,f.20107.0.0 - f.20107.0.9,20107,,,2006-2010,ACE/Touchscreen,Family history
father_severe_depression,Illnesses of father,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20107,,Family medical history,f.20107.0.0 - f.20107.0.9,20107,,,,,
father_parkinsons,Illnesses of father,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20107,,Family medical history,f.20107.0.0 - f.20107.0.9,20107,,,,,
father_diabetes,Illnesses of father,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20107,,Family medical history,f.20107.0.0 - f.20107.0.9,20107,,,,,
father_high_blood_pressure,Illnesses of father,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20107,,Family medical history,f.20107.0.0 - f.20107.0.9,20107,,,,,
father_bronchitis_emphysema,Illnesses of father,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20107,,Family medical history,f.20107.0.0 - f.20107.0.9,20107,,,,,
father_prostate_cancer,Illnesses of father,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20107,,Family medical history,f.20107.0.0 - f.20107.0.9,20107,,,,,
father_bowel_cancer,Illnesses of father,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20107,,Family medical history,f.20107.0.0 - f.20107.0.9,20107,,,,,
father_lung_cancer,Illnesses of father,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20107,,Family medical history,f.20107.0.0 - f.20107.0.9,20107,,,,,
father_stroke,Illnesses of father,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20107,,Family medical history,f.20107.0.0 - f.20107.0.9,20107,,,,,
father_heart_disease,Illnesses of father,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20107,,Family medical history,f.20107.0.0 - f.20107.0.9,20107,,,,,
